player,role,amount,team,year,player_origin
Oshane Thomas,Bowler,5000000,Rajasthan Royals,2020,Overseas
Pankaj Jaswal,All-Rounder,2000000,Mumbai Indians,2019,Overseas
Pankaj Singh,Bowler,11250000,Royal Challengers Bangalore,2013,Indian
Paras Dogra,Batsman,1000000,Gujarat Lions,2016,Indian
Pardeep Sahu,Bowler,2000000,Kings XI Punjab,2018,Indian
Parthiv Patel,Wicket Keeper,17000000,Royal Challengers Bangalore,2018,Indian
Parveez Rasool,All-Rounder,9500000,Sunrisers Hyderabad,2014,Indian
Parvinder Awana,Bowler,6500000,Kings XI Punjab,2014,Indian
Pat Cummins,All-Rounder,155000000,Kolkata Knight Riders,2020,Overseas
Pavan Deshpande,All-Rounder,2000000,Royal Challengers Bangalore,2020,Indian
Pawan Negi,All-Rounder,5000000,Kolkata Knight Riders,2021,Indian
Pawan Suyal,Bowler,1000000,Delhi Daredevils,2016,Indian
Peter Handscomb,Wicket Keeper,3000000,Rising Pune Supergiant,2016,Overseas
Philip Hughes,Batsman,7500000,Mumbai Indians,2013,Overseas
Piyush Chawla,Bowler,24000000,Mumbai Indians,2021,Indian
Prabhsimran Singh,Wicket Keeper,5500000,Kings XI Punjab,2020,Indian
Pradeep Sangwan,Bowler,15000000,Mumbai Indians,2018,Indian
Pragyan Ojha,Bowler,5000000,Mumbai Indians,2015,Indian
Prasanth Padmanabhan,All-Rounder,1000000,Sunrisers Hyderabad,2015,Indian
Prasanth Parameswaran,Bowler,3000000,Sunrisers Hyderabad,2014,Indian
Prashant Chopra,Wicket Keeper,2000000,Rajasthan Royals,2018,Indian
Pratham Singh,All-Rounder,1000000,Gujarat Lions,2017,Indian
Pratyush Singh,All-Rounder,1000000,Delhi Daredevils,2016,Indian
Praveen Dubey,All-Rounder,1000000,Royal Challengers Bangalore,2017,Indian
Praveen Kumar,Bowler,35000000,Gujarat Lions,2016,Indian
Pravin Tambe,Bowler,2000000,Kolkata Knight Riders,2020,Indian
Prayas Ray Barman,All-Rounder,15000000,Royal Challengers Bangalore,2019,Indian
Prince Balwant Rai Singh,All-Rounder,2000000,Mumbai Indians,2020,Indian
Prithvi Raj Yarra,Bowler,2000000,Kolkata Knight Riders,2019,Indian
Prithvi Shaw,Batsman,12000000,Delhi Daredevils,2018,Indian
Priyam Garg,Batsman,19000000,Sunrisers Hyderabad,2020,Indian
Quinton De Kock,Wicket Keeper,28000000,Royal Challengers Bangalore,2018,Overseas
R. Sai Kishore,Bowler,2000000,Chennai Super Kings,2020,Indian
R. Sanjay Yadav,All-Rounder,1000000,Kolkata Knight Riders,2017,Indian
Rahul Ajay Tripathi,All-Rounder,1000000,Rising Pune Supergiant,2017,Indian
Rahul Chahar,Bowler,19000000,Mumbai Indians,2018,Indian
Rahul Sharma,Bowler,3000000,Chennai Super Kings,2015,Indian
Rahul Shukla,Bowler,4000000,Delhi Daredevils,2014,Indian
Rahul Tewatia,All-Rounder,30000000,Delhi Daredevils,2018,Indian
Rahul Tripathi,Batsman,6000000,Kolkata Knight Riders,2020,Indian
Rajagopal Sathish,All-Rounder,2000000,Kolkata Knight Riders,2016,Indian
Rajat Bhatia,All-Rounder,6000000,Rising Pune Supergiant,2016,Indian
Rajat Patidar,Batsman,2000000,Royal Challengers Bangalore,2021,Indian
Ranganath Vinay Kumar,Bowler,10000000,Kolkata Knight Riders,2018,Indian
Rashid Khan Arman,Bowler,90000000,Sunrisers Hyderabad,2018,Overseas
Rasikh Dar,Bowler,2000000,Mumbai Indians,2019,Indian
Ravi Bishnoi,Bowler,20000000,Kings XI Punjab,2020,Indian
Ravi Bopara,All-Rounder,10000000,Sunrisers Hyderabad,2015,Indian
Ravi Rampaul,Bowler,9000000,Royal Challengers Bangalore,2014,Overseas
Ravichandran Ashwin,All-Rounder,76000000,Kings XI Punjab,2018,Overseas
Ricky Bhui,Batsman,2000000,Sunrisers Hyderabad,2018,Overseas
Ricky Ponting,Batsman,30000000,Mumbai Indians,2013,Overseas
Riley Meredith,Bowler,80000000,Punjab Kings,2021,Overseas
Rinku Singh,Batsman,8000000,Kolkata Knight Riders,2018,Indian
Ripal Patel,All-Rounder,2000000,Delhi Capitals,2021,Indian
Rishabh Pant,Wicket Keeper,19000000,Delhi Daredevils,2016,Indian
Rishi Dhawan,All-Rounder,5500000,Kolkata Knight Riders,2017,Indian
Riyan Parag,All-Rounder,2000000,Rajasthan Royals,2019,Indian
Robin Uthappa,Batsman,30000000,Rajasthan Royals,2020,Indian
Ronit More,Bowler,1000000,Chennai Super Kings,2014,Indian
Ross Taylor,Batsman,20000000,Delhi Daredevils,2014,Overseas
Rovman Powell,All-Rounder,3000000,Kolkata Knight Riders,2017,Overseas
Rudra Pratap Singh,Bowler,3000000,Rising Pune Supergiant,2016,Indian
Ruturaj Gaikwad,Batsman,2000000,Chennai Super Kings,2019,Indian
Ryan McLaren,Bowler,3750000,Kolkata Knight Riders,2013,Overseas
Ryan Ten Doeschate,All-Rounder,10000000,Kolkata Knight Riders,2014,Overseas
Sachin Baby,Batsman,2000000,Royal Challengers Bangalore,2021,Indian
Sachin Rana,Bowler,2000000,Royal Challengers Bangalore,2014,Indian
