player,number_of_not_outs,tot_runs,highest_score,tot_balls_faced,number_of_hundreds,number_of_fifties,number_of_fours,number_of_sixes,batting_average,batting_strike_rate,number_of_overs,runs,wickets,number_of_four_fers,number_of_five_fers,max_number_of_wickets_per_match,number_of_balls_bowled,bowling_average,bowling_strike_rate,total_matches,total_innings,role,amount,player_origin,player_id
corey anderson,4.0,159.0,41.0,145.0,0.0,0.0,8.0,10.0,11.357142857142856,109.6551724137931,27.0,301.0,6.0,0.0,0.0,2.0,162.0,50.16666666666666,27.0,14.0,14.0,All-Rounder,10000000.0,Overseas,c3171984-30b0-4b80-afae-c161adb12335
dale steyn,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.5,50.0,19.0,202.0,5.0,0.0,0.0,3.0,114.0,40.4,22.8,5.0,5.0,Bowler,20000000.0,Overseas,6c37e4a1-0ba4-4f66-a186-27d8cf21a768
dan christian,6.0,119.0,17.0,106.0,0.0,0.0,6.0,6.0,4.576923076923077,112.26415094339625,68.0,554.0,19.0,0.0,0.0,2.0,408.0,29.157894736842103,21.473684210526315,26.0,26.0,All-Rounder,48000000.0,Overseas,54733595-3dea-488b-a726-b01563a4f3af
darren bravo,1.0,6.0,6.0,5.0,0.0,0.0,1.0,0.0,6.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Batsman,5000000.0,Overseas,8b6602db-5b50-4125-ab0e-4e8596390045
david miller,10.0,655.0,62.0,552.0,0.0,2.0,48.0,20.0,15.97560975609756,118.65942028985508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,38.0,Batsman,7500000.0,Overseas,4994de01-a321-47f7-a575-70812d814318
david warner,10.0,2924.0,126.0,2081.0,2.0,27.0,275.0,98.0,43.64179104477612,140.50937049495437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,Batsman,55000000.0,Overseas,cd8bb87f-264a-4a4a-9164-ef5bbe667ce1
david wiese,1.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,All-Rounder,28000000.0,Overseas,3a407425-2c7c-4b25-a8e9-9d5750487534
dawid malan,0.0,26.0,26.0,26.0,0.0,0.0,1.0,1.0,26.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,All-Rounder,15000000.0,Overseas,d4cb0a2a-4e26-4c64-8753-8b640f1f7c11
deepak chahar,5.0,79.0,39.0,57.0,0.0,0.0,2.0,6.0,1.2950819672131149,138.5964912280702,215.0,1681.0,59.0,2.0,0.0,4.0,1290.0,28.491525423728813,21.864406779661017,61.0,61.0,All-Rounder,8000000.0,Indian,9a559d2e-0a84-4bbc-ab4b-d662f3980596
deepak hooda,14.0,634.0,64.0,511.0,0.0,2.0,35.0,27.0,9.606060606060606,124.07045009784736,35.0,296.0,8.0,0.0,0.0,2.0,210.0,37.0,26.25,66.0,52.0,All-Rounder,5000000.0,Indian,bdf5e942-7738-4889-9f8c-b34ca93d20d0
devdutt padikkal,1.0,884.0,101.0,707.0,1.0,6.0,95.0,22.0,30.48275862068965,125.03536067892504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,Batsman,2000000.0,Indian,d1b4f68e-f83f-4c50-aeb0-0469df5c983d
dhawal kulkarni,6.0,38.0,6.0,29.0,0.0,0.0,3.0,0.0,0.9743589743589745,131.03448275862067,123.0,1060.0,31.0,1.0,0.0,4.0,738.0,34.193548387096776,23.806451612903224,39.0,38.0,Bowler,7500000.0,Indian,27695889-1c1c-4476-9f8a-83b658630bdf
dhruv shorey,0.0,13.0,8.0,17.0,0.0,0.0,0.0,1.0,6.5,76.47058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,All-Rounder,2000000.0,Indian,ae91e770-11c9-40f8-8582-3aac22082cfc
dinesh karthik,23.0,1839.0,97.0,1339.0,0.0,10.0,181.0,55.0,20.208791208791208,137.3412994772218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,86.0,Wicket Keeper,74000000.0,Indian,e855ee2b-9e3c-4158-83b9-fb5ac9321de9
dwayne bravo,17.0,374.0,68.0,263.0,0.0,1.0,28.0,18.0,6.2333333333333325,142.20532319391637,204.0,1800.0,62.0,1.0,0.0,4.0,1224.0,29.032258064516128,19.741935483870968,60.0,60.0,All-Rounder,64000000.0,Overseas,df85a691-08cc-4016-a51a-974596728c50
dwayne smith,2.0,563.0,74.0,377.0,0.0,5.0,67.0,24.0,23.458333333333332,149.3368700265252,31.0,301.0,10.0,1.0,0.0,4.0,186.0,30.1,18.6,24.0,24.0,All-Rounder,23000000.0,Overseas,57fd78ac-199e-4d57-affd-172bf14b2ce3
eklavya dwivedi,0.0,24.0,19.0,14.0,0.0,0.0,2.0,2.0,6.0,171.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,Wicket Keeper,7500000.0,Indian,8425e4f0-a2a4-4816-b91e-e80e40e942cd
eoin morgan,9.0,739.0,68.0,608.0,0.0,2.0,54.0,36.0,17.595238095238095,121.54605263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,40.0,Batsman,52500000.0,Overseas,243e524d-d3fa-4c05-9130-f45a35348bb2
evin lewis,0.0,581.0,65.0,421.0,0.0,3.0,54.0,33.0,27.666666666666664,138.00475059382424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,Batsman,38000000.0,Overseas,3000de7e-f11a-4d95-aa04-b23965f871fd
fabian allen,2.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,1.5,50.0,11.0,90.0,1.0,0.0,0.0,1.0,66.0,90.0,66.0,4.0,3.0,All-Rounder,7500000.0,Overseas,1533f814-6767-43f3-941d-042afed148f8
faf du plessis,6.0,1854.0,96.0,1396.0,0.0,16.0,173.0,67.0,33.70909090909091,132.8080229226361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,54.0,Batsman,16000000.0,Overseas,d1373fff-209d-4b00-ada1-785b43294fdf
farhaan behardien,1.0,14.0,9.0,13.0,0.0,0.0,2.0,0.0,4.666666666666666,107.69230769230768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,All-Rounder,3000000.0,Overseas,b30fcc32-fb78-4da6-b0d3-0a1554e1f753
gautam gambhir,6.0,1084.0,90.0,888.0,0.0,10.0,123.0,14.0,29.297297297297295,122.07207207207207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,Batsman,28000000.0,Indian,b1821a60-fe4a-4db5-9f9e-8f05d857a48c
george bailey,1.0,84.0,34.0,98.0,0.0,0.0,9.0,2.0,14.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,Batsman,32500000.0,Overseas,ecd2d6a8-b236-4ecc-a23e-ea2f0ecefce5
glenn maxwell,11.0,1279.0,78.0,885.0,0.0,8.0,104.0,64.0,19.67692307692308,144.51977401129943,72.0,561.0,18.0,0.0,0.0,2.0,432.0,31.166666666666668,24.0,65.0,61.0,All-Rounder,142500000.0,Overseas,cc5ff54a-b952-4123-9af1-45854db41663
hanuma vihari,0.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Batsman,20000000.0,Indian,f56a03b2-84e5-485d-b549-d1b1f2493113
harbhajan singh,11.0,142.0,45.0,143.0,0.0,0.0,14.0,4.0,2.730769230769231,99.30069930069929,166.0,1240.0,40.0,0.0,0.0,5.0,996.0,31.0,24.9,52.0,48.0,Bowler,20000000.0,Indian,ab8e2367-c22d-411c-ae31-388329cb8835
hardik pandya,28.0,1364.0,91.0,897.0,0.0,3.0,88.0,90.0,16.433734939759034,152.06243032329988,126.0,1137.0,41.0,0.0,0.0,3.0,756.0,27.73170731707317,18.4390243902439,83.0,77.0,All-Rounder,1000000.0,Indian,4bb5b18b-66ac-43a2-9b7d-636a09a9ec0e
hardus viljoen,1.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.5,42.857142857142854,23.0,222.0,7.0,0.0,0.0,2.0,138.0,31.714285714285715,19.714285714285715,6.0,6.0,Bowler,7500000.0,Overseas,bbc19105-2f12-4809-8356-ba8972b8a116
